,id,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,instant_bookable,reviews_per_month,price_in_euros,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
109,553514,0.0,f,1,1,Westerpark,52.38444,4.86916,Entire home/apt,2,,1.0,5,$80.00,2,30,t,0,0,0,155,162,0,0,4.41,f,1.41,,$40,$160,5%,12%,16%,$4.99,,
110,556829,0.6900000000000001,f,2,2,Buitenveldert - Zuidas,52.33558,4.86878,Entire home/apt,2,1.0,1.0,14,$148.00,3,1125,t,5,5,5,160,24,4,1,4.68,f,0.2,,$74,$444,7%,12%,20%,$4.99,0.4383561643835616,662.4794520547945
111,568005,0.0,f,2,2,Zuid,52.3541,4.8815,Entire home/apt,2,1.0,1.0,6,$140.00,2,1125,t,0,0,0,216,55,0,0,4.96,f,0.46,,$70,$280,7%,20%,17%,$4.99,,
112,568446,0.47000000000000003,f,1,1,Centrum-Oost,52.37079,4.90153,Entire home/apt,2,1.0,2.0,5,$108.00,3,5,t,0,0,0,0,108,5,1,4.82,f,0.91,,$54,$324,6%,13%,21%,$4.99,0.0,539.2465753424658
113,570753,0.35000000000000003,f,1,1,Zuid,52.34904,4.86765,Private room,3,1.0,2.0,1,$75.00,4,30,t,6,8,8,159,372,3,1,4.87,f,3.1,,$25,$300,6%,11%,17%,$4.99,0.43561643835616437,375.0
114,571029,,f,1,1,De Baarsjes - Oud-West,52.3676,4.85976,Entire home/apt,4,2.0,2.0,9,$150.00,3,1124,t,0,0,0,0,10,0,0,4.9,f,0.08,,$37.5,$450,9%,20%,21%,$4.99,0.0,750.0
115,575603,0.3600000000000001,f,3,3,Centrum-Oost,52.36112,4.89462,Entire home/apt,4,4.0,4.0,6,$245.00,5,35,t,0,5,5,5,17,2,0,4.82,f,0.18,,$61.25,$1225,3%,25%,30%,$4.99,0.0136986301369863,1225.0
116,579851,1.0,t,1,1,Westerpark,52.39144,4.88436,Private room,2,1.0,1.0,10,$124.00,2,1125,t,0,0,0,36,507,49,4,4.96,t,4.31,,$62,$248,7%,16%,18%,$4.99,,
117,582028,1.0,f,1,1,Slotervaart,52.36021571517094,4.843456508827677,Entire home/apt,3,1.0,1.0,5,$211.00,5,17,t,5,5,5,43,10,0,0,4.8,f,0.09,,$70.33,$1055,8%,15%,24%,$4.99,0.1178082191780822,819.6027397260274
118,582382,0.5800000000000001,f,1,1,Oud-Noord,52.39442,4.91478,Entire home/apt,5,3.0,3.0,2,$170.00,4,14,t,0,0,0,0,20,0,0,4.78,f,0.17,,$34,$680,9%,15%,20%,$4.99,0.0,850.0
119,588020,0.65,f,4,4,Centrum-Oost,52.36918,4.91316,Entire home/apt,6,3.0,6.0,9,$316.00,3,90,t,2,6,11,226,207,31,3,4.49,t,2.32,,$52.67,$948,4%,18%,24%,$4.99,0.6183844011142061,1799.8607242339833
120,590236,0.64,f,1,1,De Baarsjes - Oud-West,52.36809,4.85436,Entire home/apt,2,1.0,1.0,3,$120.00,4,8,t,0,4,4,166,42,2,1,4.85,f,0.36,,$60,$480,6%,17%,19%,$4.99,0.4547945205479452,600.0
121,590681,1.0,f,1,1,Zuid,52.34788,4.8506,Entire home/apt,4,4.0,1.0,10,$295.00,2,21,t,0,0,0,0,14,3,0,5.0,f,0.12,,$73.75,$590,10%,9%,26%,$4.99,,
122,606871,0.86,f,1,1,Westerpark,52.37621,4.87075,Private room,2,1.0,1.0,10,$161.00,2,365,t,9,28,50,317,338,51,6,4.72,f,2.99,,$80.5,$322,8%,18%,21%,$4.99,,
123,608432,0.8200000000000001,t,2,2,Centrum-West,52.381996,4.888583,Private room,2,,1.0,5,$107.00,1,10,t,5,23,47,47,706,87,9,4.74,t,5.91,,$53.5,$107,7%,10%,19%,$4.99,,
124,613088,0.78,f,13,13,Noord-Oost,52.41016,4.96369,Private room,2,1.0,1.0,1,$87.00,2,1125,t,0,2,13,287,389,18,2,4.86,f,3.27,,$43.5,$174,6%,12%,15%,$4.99,,
125,613110,1.0,f,0,0,IJburg - Zeeburgereiland,52.36368,4.9794,Private room,4,1.0,3.0,1,$60.00,1,1125,t,20,50,80,154,281,2,2,3.96,t,2.36,,$15,$60,6%,12%,16%,$2.99,,
126,623123,0.8,f,1,1,De Baarsjes - Oud-West,52.36247,4.86534,Entire home/apt,4,3.0,2.0,10,$450.00,4,14,t,0,2,7,7,21,2,0,4.32,t,0.18,,$112.5,$1800,16%,22%,32%,$10.99,0.019178082191780823,2329.3150684931506
127,627188,1.0,t,2,2,Centrum-West,52.381996,4.888583,Private room,2,,1.0,13,$119.00,1,10,t,0,10,40,40,456,73,13,4.84,t,3.81,,$59.5,$119,7%,14%,17%,$4.99,,
128,627213,0.6699999999999999,f,1,1,Zuid,52.35094,4.88552,Entire home/apt,5,3.0,3.0,10,$100.00,7,30,t,0,0,0,0,14,0,0,5.0,f,0.12,,$20,$700,7%,16%,20%,$4.99,0.0,799.4109589041096
129,633585,0.96,f,1,1,De Pijp - Rivierenbuurt,52.34918,4.89197,Entire home/apt,2,1.0,1.0,5,$125.00,4,61,t,0,0,0,155,87,1,0,4.83,f,0.73,,$62.5,$500,5%,12%,15%,$4.99,0.4246575342465753,625.1095890410959
130,634170,1.0,t,1,1,Westerpark,52.38388,4.86562,Entire home/apt,4,,4.0,3,$109.00,14,1125,t,0,2,2,22,147,3,0,4.88,f,1.24,,$27.25,$1526,7%,12%,16%,$4.99,0.06027397260273973,542.7397260273973
131,635019,0.21,f,2,2,Bos en Lommer,52.3786,4.84948,Entire home/apt,2,1.0,1.0,3,$150.00,2,6,t,0,0,0,0,74,7,1,4.82,f,0.63,,$75,$300,7%,22%,18%,$4.99,,
132,653459,1.0,f,1,1,Buitenveldert - Zuidas,52.32237,4.86024,Entire home/apt,4,4.0,5.0,9,$240.00,6,28,t,0,4,7,84,16,2,0,4.94,f,0.27,,$60,$1440,6%,12%,21%,$4.99,0.23013698630136986,1202.6575342465753
133,654931,1.0,t,2,2,Centrum-West,52.37167,4.8948,Hotel room,2,1.0,1.0,5,$94.00,1,1125,t,0,2,3,131,729,47,5,4.85,t,6.16,,$47,$94,5%,10%,15%,$4.99,,
134,655216,1.0,t,2,2,Centrum-West,52.37098,4.89434,Hotel room,2,1.0,1.0,9,$106.00,1,1125,t,0,0,1,143,634,56,9,4.87,t,5.38,,$53,$106,7%,10%,18%,$4.99,,
135,658063,0.91,f,1,1,De Baarsjes - Oud-West,52.36188,4.87694,Private room,4,1.0,3.0,2,$146.00,3,1125,t,3,6,14,22,117,6,2,4.36,f,1.02,,$36.5,$438,6%,7%,18%,$4.99,0.06027397260273973,757.054794520548
136,660856,0.8300000000000001,f,1,1,Watergraafsmeer,52.3551,4.93262,Entire home/apt,4,4.0,6.0,15,$275.00,7,33,t,1,2,2,2,39,4,0,4.82,f,0.34,,$68.75,$1925,8%,29%,20%,$4.99,0.005479452054794521,1396.2328767123288
137,664697,0.0,f,1,1,Oud-Noord,52.38537,4.90241,Entire home/apt,2,1.0,1.0,8,$87.00,30,180,t,4,34,35,302,63,0,0,4.33,f,0.53,,$43.5,$2610,5%,10%,15%,$4.99,0.8273972602739726,435.0
138,667305,0.92,f,1,1,Noord-West,52.41878,4.89397,Entire home/apt,2,1.0,1.0,5,$146.00,5,120,t,19,37,66,341,20,5,3,5.0,f,0.18,,$73,$730,6%,14%,16%,$4.99,0.9342465753424658,728.4931506849315
